gh_username,company,twitter,location
mikeyhodl,@weknow-io @gadgetsmagke @weknow-finance @amdefiguy<br/>,mikeyhodl,Kenya
codenvibes,No Company,Terrence_tech_,"Nairobi, Kenya"
NexusGKSoftwares,Ceo & Founder Of<br/>@nexusgk<br/>Softwares<br/><br/>,nexus_gk,Nairobi Kenya
Mathenge-Alex,No Company,,"Nairobi, Kenya"
fbiego,Lvgl Kft @lvgl,fbiego_,Kenya
xhclintohn,Toxic_tech,,Kenya
nejidevelops,Microverse,NewtonOmbese,Nairobi
EvansRobbie,No Company,e_robbievans,Nairobi
omololevy,| @cotechie-org | @kiungor<br/>|<br/>@armjscom<br/>|<br/>@utawala<br/>|<br/>@chesslablab<br/>|<br/>@masen0university<br/>|<br/>,kaylor254,"Nairobi, Kenya"
Baraka-Mulumia,Mshindi Creations,barakamulumia,Kenya
Judiciousmurich,No Company,,"Nairobi, Kenya"
willymwai,No Company,mwai_william,"Nairobi, Kenya"
MillerAdulu,Frog Technologies (@frogtechnologies),MillerAdulu,Nairobi
MachariaP,No Company,_M_Phinehas,"Nairobi, Kenya"
graham218,The Peacemakers Llc,grahambill011,"Donholm, Nairobi, Kenya"
programmingChiira,Tpping,DennisChiira,Kenya
MartMbithi,@devlansolutionsltd | @makueni-county-ict- |<br/>@naidevopscom<br/>,martinezmbithi,"Nairobi, Kenya"
mgcodeur,"Paneramg, Mgcodeur",mgcodeur,Madagascar
tiavina-mika,Freelance,,"Antananarivo, Madagascar"
JohanaMisaela,No Company,,"Antananarivo, Madagascar"
mianala,Loha.dev,mia_loha,Madagascar Antananarivo
elsy-sc,It University,,Madagascar
josoavj,@apexnovalabs,j_Josoa,"Antananarivo, Madagascar"
marioshaya,Icecreamswap,marioshaya,"Ambovombe Androy, Madagascar"
radonirinamaminiaina,Saha Technology,,"Antananarivo, Madagascar"
Xpirix,No Company,Xpirix3,Madagascar
branGitfox,Bailti,,"Antananario, Madagascar"
HarenaFiantso,Haute École D'informatique -<br/>Hei<br/>,HarenaFiantso,Antananarivo
tonymushah,No Company,tony_mushah,Anosy Avaratra - Madagascar
nomenarkt,No Company,nomenatheone,Madagascar
Emii-lia,No Company,,Madagascar
Tiavina22,No Company,,"Antananarive, Madagascar"
jimrjboys,Meta-build.fr,,Antananarivo
andostronaut,No Company,andostronaut,"Antananarivo, MG"
Dokja620,Ohayo Dev&design,,"Madagascar, Antananarivo"
tsirysndr,@fluentci-io,tsiry_sndr,Antananarivo / Madagascar
garryismael,No Company,,Antananarivo
kachaje,No Company,,"Lilongwe, Malawi"
dnlmgwi,@newwave-group,,Malawi
winstonmhango23,No Company,winstonmhango23,Malawi
dthyolerak,Infi-tech(infinity Technologies Inc) @infinitycodemw<br/><br/>As<br/>Well<br/>As<br/>@talents2germany<br/>,,Malawi
markulaya2,@creditdatamw,,"Blantyre, Malawi"
CliffordMarley,Maziko Financial Technologies Limited<br/>,,"Area 47, Lilongwe, Malawi"
OnionsMakeYouCry,Paychangu,,Malawi
EvanieWares,Evaniewares,EvanieWares,Malawi
madzalo,No Company,,Malawi
caesar127,Paychangu,,Malawi
prow57,Imosys,,Malawi
PatienceBond,Findlink,,"Malawi, Africa"
hopekali04,No Company,,"Blantyre, Malawi"
uniquedj95,Elizabeth Glaser Pediatric Aids<br/>Foundation<br/>,uniquedj95,Blantyre Malawi
calmwalija,No Company,,"Malawi, Lilongwe"
